lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.0,"[1.0, 0.8, 0.2, 0.5, 1.312037280884873, 2.467983561008608, 0.3]",[[157.2283950617284]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.3446492702630882e-32, 3.3616231756577205e-33, 0.0, -8.964328468420589e-33, 1.7928656936841178e-32, 6.723246351315441e-33], [0.0, 3.3616231756577205e-33, 8.404057939144301e-34, 0.0, -2.2410821171051472e-33, 4.4821642342102945e-33, 1.6808115878288603e-33], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, -8.964328468420589e-33, -2.2410821171051472e-33, 0.0, 0.16906641443972745, -0.27160767547432557, -4.4821642342102945e-33], [0.0, 1.7928656936841178e-32, 4.4821642342102945e-33, 0.0, -0.27160767547432557, 0.43634171589334847, 8.964328468420589e-33], [0.0, 6.723246351315441e-33, 1.6808115878288603e-33, 0.0, -4.4821642342102945e-33, 8.964328468420589e-33, 3.3616231756577205e-33]]",0.00022590134022058473,157.2283950617284,[[12.539074729090995]],[12.539074729090995]
0.0005187441657055203,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[149.07226379957694]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 4.154983007869524e-05, -0.004974769826430587, -7.19013845904568e-33], [0.0, 0.0, 0.0, 0.0, -0.004974769826430587, 0.5956302295121537, -2.670622856216967e-32], [0.0, 0.0, 0.0, 0.0, -7.19013845904568e-33, -2.670622856216967e-32, 3.3382785702712086e-33]]",0.0002490546919835978,149.07226379957694,[[12.209515297487323]],[12.209515297487323]
0.0005681292589444498,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[148.2957899045839]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.031284937792691106, -0.061487518321900914, -5.1358131850326285e-33], [0.0, 0.0, 0.0, 0.0, -0.061487518321900914, 0.12084776816367424, -1.6434602192104412e-32], [0.0, 0.0, 0.0, 0.0, -5.1358131850326285e-33, -1.6434602192104412e-32, 3.3382785702712086e-33]]",0.0002493259680933897,148.2957899045839,[[12.177675882720147]],[12.177675882720147]
0.0006423036998737253,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[147.1295570743928]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2477739991036026, -0.15629468212629344, -2.0543252740130515e-33], [0.0, 0.0, 0.0, 0.0, -0.15629468212629344, 0.098589955965254, 4.108650548026103e-33], [0.0, 0.0, 0.0, 0.0, -2.0543252740130515e-33, 4.108650548026103e-33, 3.3382785702712086e-33]]",0.0002497351568002266,147.1295570743928,[[12.12969731998259]],[12.12969731998259]
0.0008246168346853766,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[144.26307691588195]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.27479091773427045, -0.1384647171208905, 6.162975822039155e-33], [0.0, 0.0, 0.0, 0.0, -0.1384647171208905, 0.06977114835326714, -4.108650548026103e-33], [0.0, 0.0, 0.0, 0.0, 6.162975822039155e-33, -4.108650548026103e-33, 3.3382785702712086e-33]]",0.00025074979256012986,144.26307691588195,[[12.010956536258133]],[12.010956536258133]
0.0009899939263861013,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[141.6628794450738]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.008237003771267098, -0.023275464329597033, 4.108650548026103e-33], [0.0, 0.0, 0.0, 0.0, -0.023275464329597033, 0.06576993950738536, -8.217301096052206e-33], [0.0, 0.0, 0.0, 0.0, 4.108650548026103e-33, -8.217301096052206e-33, 3.3382785702712086e-33]]",0.00025168110755806637,141.6628794450738,[[11.902221618045674]],[11.902221618045674]
0.0009924640506289162,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[141.62404207804374]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.08720228297279828, -0.17116668661534384, -6.162975822039155e-33], [0.0, 0.0, 0.0, 0.0, -0.17116668661534384, 0.33597783920421553, -8.217301096052206e-33], [0.0, 0.0, 0.0, 0.0, -6.162975822039155e-33, -8.217301096052206e-33, 3.3382785702712086e-33]]",0.00025169509681261394,141.62404207804374,[[11.90058998865366]],[11.90058998865366]
0.0010674650227472382,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[140.4448138306204]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.059210110023404955, -0.044136751876925825, 5.1358131850326285e-33], [0.0, 0.0, 0.0, 0.0, -0.044136751876925825, 0.03290067972302835, -1.6434602192104412e-32], [0.0, 0.0, 0.0, 0.0, 5.1358131850326285e-33, -1.6434602192104412e-32, 3.3382785702712086e-33]]",0.0002521209607940098,140.4448138306204,[[11.850941474440772]],[11.850941474440772]
0.001233062511908134,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[137.84115108591845]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.005642543041841072, -0.044294854897907715, -6.162975822039155e-33], [0.0, 0.0, 0.0, 0.0, -0.044294854897907715, 0.3477216134423174, 2.0543252740130514e-32], [0.0, 0.0, 0.0, 0.0, -6.162975822039155e-33, 2.0543252740130514e-32, 3.3382785702712086e-33]]",0.0002530688184606554,137.84115108591845,[[11.740577118946003]],[11.740577118946003]
0.0016607076748005323,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[131.11735482417015]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 9.732554396904259e-05, -0.003594188824343588, -2.844450379402687e-33], [0.0, 0.0, 0.0, 0.0, -0.003594188824343588, 0.13273178631444765, -7.585201011740499e-33], [0.0, 0.0, 0.0, 0.0, -2.844450379402687e-33, -7.585201011740499e-33, 3.3185254426364685e-33]]",0.0002702735591971707,131.11735482417015,[[11.450648663904161]],[11.450648663904161]
