lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.0,"[1.9028854273101217, 0.9673561488761888, 1e-06]",[[276.44994955919236]],"[[0.012544887780473541, 0.003378561635622927, 4.274524912081046e-38], [0.003378561635622927, 0.0009099068023127573, -2.1372624560405228e-39], [4.274524912081046e-38, -2.1372624560405228e-39, 4.891805548188452e-44]]",0.0006983769162863622,276.44994955919236,[[16.62678410153907]],[16.62678410153907]
0.0005187441657055203,"[2.0, 1.0, 1e-06]",[[262.1092880576177]],"[[1.56862014075948e-05, 7.617473951154984e-05, 3.5264830524668625e-38], [7.617473951154984e-05, 0.00036991689631391824, 9.795786256852395e-39], [3.5264830524668625e-38, 9.795786256852395e-39, 4.857834676326032e-44]]",0.0007699558104790964,262.1092880576177,[[16.189789623636795]],[16.189789623636795]
0.0005681292589444498,"[2.0, 1.0, 1e-06]",[[260.74403728500204]],"[[0.00724335960490031, 0.004370522580666196, 7.836629005481916e-39], [0.004370522580666196, 0.0026371005541669535, -1.5673258010963833e-38], [7.836629005481916e-39, -1.5673258010963833e-38, 4.857834676326032e-44]]",0.0007707944571095834,260.74403728500204,[[16.14757063105785]],[16.14757063105785]
0.0010674650227472382,"[2.0, 1.0, 1e-06]",[[246.93988943337024]],"[[0.02640182133444187, 0.0014709890668619012, 7.836629005481916e-39], [0.0014709890668619012, 8.195680166975827e-05, -3.918314502740958e-39], [7.836629005481916e-39, -3.918314502740958e-39, 4.857834676326032e-44]]",0.000779435212774308,246.93988943337024,[[15.714321157255576]],[15.714321157255576]
0.001233062511908134,"[2.0, 1.0, 1e-06]",[[242.3619593746863]],"[[0.00403929938717121, 0.0005758689689275179, -3.5264830524668625e-38], [0.0005758689689275179, 8.209965085204668e-05, 9.795786256852395e-39], [-3.5264830524668625e-38, 9.795786256852395e-39, 4.857834676326032e-44]]",0.000782365532799112,242.3619593746863,[[15.567978654105557]],[15.567978654105557]
0.0016607076748005323,"[2.0, 1.0, 1e-06]",[[230.5397050225389]],"[[3.0902883586503384e-07, 5.536100113591492e-05, 0.0], [5.536100113591492e-05, 0.00991765198283737, 1.808452847418904e-39], [0.0, 1.808452847418904e-39, 4.829090092442447e-44]]",0.000835554204914674,230.5397050225389,[[15.18353400966122]],[15.18353400966122]
0.002308772586742003,"[2.0, 1.0, 1e-06]",[[212.62395623824662]],"[[0.01230804746751335, 0.001948978709522149, -2.1701434169026848e-38], [0.001948978709522149, 0.0003086206825409692, -1.4467622779351232e-38], [-2.1701434169026848e-38, -1.4467622779351232e-38, 4.829090092442447e-44]]",0.0008459688271266374,212.62395623824662,[[14.581630781165961]],[14.581630781165961]
0.004007604733339498,"[2.0, 1.0, 1e-06]",[[165.6597457543107]],"[[0.0070225728595981595, 0.002065795966578886, -1.0850717084513424e-38], [0.002065795966578886, 0.0006076851121168405, -1.6276075626770134e-38], [-1.0850717084513424e-38, -1.6276075626770134e-38, 4.829090092442447e-44]]",0.0008754460777439929,165.6597457543107,[[12.870887527840134]],[12.870887527840134]
0.004305775667678646,"[2.0, 1.0, 1e-06]",[[157.41680834785973]],"[[0.00011103927776731547, 0.00010745855551194277, 3.255215125354027e-38], [0.00010745855551194277, 0.00010399330205398952, -1.808452847418904e-39], [3.255215125354027e-38, -1.808452847418904e-39, 4.829090092442447e-44]]",0.0008809448386217097,157.41680834785973,[[12.546585525467068]],[12.546585525467068]
0.0045001249396591225,"[2.0, 1.0, 1e-06]",[[152.0440314905675]],"[[0.0011394319701114872, 0.004055895714807887, 1.4467622779351232e-38], [0.004055895714807887, 0.014437272677005362, -5.425358542256712e-39], [1.4467622779351232e-38, -5.425358542256712e-39, 4.829090092442447e-44]]",0.0008845811891908694,152.0440314905675,[[12.330613589378572]],[12.330613589378572]
0.0046187988433276095,"[2.0, 1.0, 1e-06]",[[148.7632963109486]],"[[0.0007754409977914997, 0.0004730367418656567, -4.70197740328915e-38], [0.0004730367418656567, 0.00028856323020341653, 1.808452847418904e-39], [-4.70197740328915e-38, 1.808452847418904e-39, 4.829090092442447e-44]]",0.0008868219310233447,148.7632963109486,[[12.196856001074563]],[12.196856001074563]
0.004741392911873921,"[2.0, 1.0, 1e-06]",[[145.37418244548476]],"[[8.569996891890543e-05, 0.0006323339163652661, -3.255215125354027e-38], [0.0006323339163652661, 0.004665651421229734, 3.616905694837808e-39], [-3.255215125354027e-38, 3.616905694837808e-39, 4.829090092442447e-44]]",0.000889152815049165,145.37418244548476,[[12.05712164844847]],[12.05712164844847]
0.0054298341287004614,"[2.0, 1.0, 1e-06]",[[126.34222309015537]],"[[0.004230305777661708, 0.00045192344732146526, -2.1701434169026848e-38], [0.00045192344732146526, 4.827896917461307e-05, 1.0850717084513424e-38], [-2.1701434169026848e-38, 1.0850717084513424e-38, 4.829090092442447e-44]]",0.0009025469953488291,126.34222309015537,[[11.24020565159532]],[11.24020565159532]
0.0054731088346274825,"[2.0, 1.0, 1e-06]",[[125.14589859258523]],"[[0.0029791633403252345, 0.006502732461628962, -1.0850717084513424e-38], [0.006502732461628962, 0.014193760004749076, 5.425358542256712e-39], [-1.0850717084513424e-38, 5.425358542256712e-39, 4.829090092442447e-44]]",0.0009034062062956676,125.14589859258523,[[11.18686276811266]],[11.18686276811266]
0.0073144562930156365,"[2.0, 1.0, 1e-06]",[[74.24185219289306]],"[[0.02597967072114346, 0.0006471486239497546, 1.4467622779351232e-38], [0.0006471486239497546, 1.6120348328326572e-05, 1.265916993193233e-38], [1.4467622779351232e-38, 1.265916993193233e-38, 4.829090092442447e-44]]",0.000941860981762887,74.24185219289306,[[8.616371173115342]],[8.616371173115342]
0.007362269751005512,"[2.0, 1.0, 1e-06]",[[72.92004239408493]],"[[0.0017410715149414888, 0.001230491669748954, -1.0850717084513424e-38], [0.001230491669748954, 0.00086964247954654, 1.808452847418904e-38], [-1.0850717084513424e-38, 1.808452847418904e-38, 4.829090092442447e-44]]",0.0009429088341545354,72.92004239408493,[[8.539323298370014]],[8.539323298370014]
0.007507032799999869,"[2.0, 1.0, 1e-06]",[[68.91807636640038]],"[[0.0012288060978369545, 0.002002524103904643, 3.616905694837808e-38], [0.002002524103904643, 0.00326341380774234, 1.6276075626770134e-38], [3.616905694837808e-38, 1.6276075626770134e-38, 4.829090092442447e-44]]",0.0009460965757721326,68.91807636640038,[[8.301691175079954]],[8.301691175079954]
0.009259781821123414,"[2.0, 1.0, 1e-06]",[[20.46334380942988]],"[[0.0031350687643076263, 0.004295635212088082, -1.679277644031839e-38], [0.004295635212088082, 0.005885830028805196, -3.3585552880636784e-39], [-1.679277644031839e-38, -3.3585552880636784e-39, 4.804451877685087e-44]]",0.0011013236476049345,20.46334380942988,[[4.523642758820581]],[4.523642758820581]
0.010727644975676243,"[2.0, 1.0, 1e-06]",[[8.673617379884035e-15]],"[[0.030370456598769528, 0.005537140042081894, -2.350988701644575e-38], [0.005537140042081894, 0.0010095310798478073, 6.717110576127357e-39], [-2.350988701644575e-38, 6.717110576127357e-39, 4.804451877685087e-44]]",0.0011331142331202984,8.673617379884035e-15,[[9.313225746154785e-08]],[9.313225746154785e-08]
0.011016667384228462,"[2.0, 1.0, 1e-06]",[[3.0357660829594124e-14]],"[[0.024131159909863788, 0.00472964005968284, -1.3434221152254714e-38], [0.00472964005968284, 0.0009269962644859416, 5.0378329320955176e-39], [-1.3434221152254714e-38, 5.0378329320955176e-39, 4.804451877685087e-44]]",0.0011396325179506654,3.0357660829594124e-14,[[1.7423449953896652e-07]],[1.7423449953896652e-07]
0.012051863015925202,"[2.0, 1.0, 1e-06]",[[1.0408340855860843e-13]],"[[0.037240501973248304, 0.0007018395441982769, -2.350988701644575e-38], [0.0007018395441982769, 1.3226963110064694e-05, -1.6792776440318392e-39], [-2.350988701644575e-38, -1.6792776440318392e-39, 4.804451877685087e-44]]",0.0011636775729786891,1.0408340855860843e-13,[[3.226196034939731e-07]],[3.226196034939731e-07]
0.012302685888602838,"[2.0, 1.0, 1e-06]",[[8.673617379884035e-14]],"[[8.607898967729657e-06, 0.00019172618078456747, -2.350988701644575e-38], [0.00019172618078456747, 0.0042703717290413275, 1.6792776440318392e-39], [-2.350988701644575e-38, 1.6792776440318392e-39, 4.804451877685087e-44]]",0.0011696679251717733,8.673617379884035e-14,[[2.9451005721170265e-07]],[2.9451005721170265e-07]
0.012469877941213237,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.01704710097571843, 0.0012394556516094092, -6.717110576127357e-39], [0.0012394556516094092, 9.011798044105657e-05, -1.6792776440318392e-39], [-6.717110576127357e-39, -1.6792776440318392e-39, 4.804451877685087e-44]]",0.0011736965414649583,0.0,[[nan]],[nan]
0.013936287708201545,"[2.0, 1.0, 1e-06]",[[5.204170427930421e-14]],"[[0.013453554002022083, 0.004218035207551475, -6.717110576127357e-39], [0.004218035207551475, 0.0013224625262194447, 2.183060937241391e-38], [-6.717110576127357e-39, 2.183060937241391e-38, 4.804451877685087e-44]]",0.001210251292993318,5.204170427930421e-14,[[2.2812650937430358e-07]],[2.2812650937430358e-07]
0.014682843560070769,"[2.0, 1.0, 1e-06]",[[-3.469446951953614e-14]],"[[0.0021524322004255743, 0.0004092662043896983, -3.358555288063678e-38], [0.0004092662043896983, 7.781839819272022e-05, -8.396388220159195e-39], [-3.358555288063678e-38, -8.396388220159195e-39, 4.804451877685087e-44]]",0.0012297032362856934,3.469446951953614e-14,[[nan]],[nan]
0.015805555440133845,"[2.0, 1.0, 1e-06]",[[1.3877787807814457e-13]],"[[0.009315227270842597, 0.003761688048355623, -4.366121874482782e-38], [0.003761688048355623, 0.001519050105995063, -3.3585552880636784e-39], [-4.366121874482782e-38, -3.3585552880636784e-39, 4.804451877685087e-44]]",0.0012600253723685031,1.3877787807814457e-13,[[3.725290298461914e-07]],[3.725290298461914e-07]
0.016579801897556923,"[2.0, 1.0, 1e-06]",[[1.0408340855860843e-13]],"[[5.3232400953125696e-05, 0.0003774585623076466, 1.0075665864191035e-38], [0.0003774585623076466, 0.002676470790502441, -1.6792776440318392e-39], [1.0075665864191035e-38, -1.6792776440318392e-39, 4.804451877685087e-44]]",0.0012816844922061582,1.0408340855860843e-13,[[3.226196034939731e-07]],[3.226196034939731e-07]
0.017668780999912204,"[2.0, 1.0, 1e-06]",[[-3.469446951953614e-14]],"[[0.000683739993359284, 0.0006643928576203942, 1.0075665864191035e-38], [0.0006643928576203942, 0.0006455931692517557, 1.6792776440318392e-39], [1.0075665864191035e-38, 1.6792776440318392e-39, 4.804451877685087e-44]]",0.0013131818573409494,3.469446951953614e-14,[[nan]],[nan]
